,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1032,1,3,2,1,2014.0,5.0,2,3,2.0,21.1,814.0,1,11.002099841204238
1033,1,4,5,1,2008.0,5.0,5,3,1.45,13.9,1599.0,1,11.407564949312402
1034,1,3,3,1,2013.0,5.0,3,15,3.25,16.47,1198.0,1,11.093523691123192
1035,1,3,4,2,2011.0,5.0,4,1,2.0,16.98,998.0,1,11.289781913656018
1036,1,5,2,2,2020.0,7.0,2,1,10.25,17.99,1462.0,1,10.308952660644293
1038,1,2,1,2,2022.0,5.0,1,21,13.0,17.2,999.0,1,9.903487552536127
1039,1,4,3,1,2012.0,5.0,3,15,2.32,15.8,1598.0,1,11.407564949312402
1040,1,2,1,1,2021.0,5.0,1,15,16.39,17.88,1498.0,1,9.833869485655258
1041,1,3,1,1,2020.0,5.0,1,8,5.36,19.01,1199.0,1,10.850850503964693
1042,2,3,1,1,2012.0,5.0,1,7,2.3,25.83,1498.0,1,11.635143097694478
1043,1,3,1,1,2016.0,5.0,1,13,3.57,25.17,799.0,1,10.234983140444118
1044,1,4,1,1,2020.0,5.0,1,1,7.86,21.56,1462.0,1,9.924221118923034
1045,1,4,2,1,2013.0,5.0,2,15,4.1,16.09,1598.0,1,10.802937267214256
1046,1,2,2,1,2018.0,5.0,2,4,6.07,17.5,1199.0,1,10.553440134508799
1047,1,2,1,2,2022.0,5.0,1,10,11.5,18.76,1462.0,1,9.392661928770137
1048,1,3,1,2,2017.0,5.0,1,4,6.84,19.0,1199.0,1,10.23537787965223
1049,1,3,1,1,2022.0,5.0,1,13,4.51,22.25,799.0,1,9.548454117726651
1050,1,5,1,1,2019.0,7.0,1,1,9.85,19.34,1462.0,1,10.308952660644293
1051,2,2,1,1,2021.0,5.0,1,8,8.0,21.5,1497.0,1,10.308952660644293
1052,2,4,2,1,2012.0,5.0,2,3,4.5,23.9,1582.0,1,11.664590200253391
1053,2,3,1,1,2021.0,5.0,1,15,7.85,22.07,1199.0,1,9.48105429619781
1054,2,4,1,1,2015.0,5.0,1,7,4.15,25.83,1498.0,1,11.119882876860622
1055,1,3,1,1,2007.0,5.0,1,3,1.5,25.83,1086.0,1,11.34058196141745
1056,2,4,2,2,2016.0,5.0,2,11,15.0,20.38,1968.0,1,10.819778284410283
1057,1,3,3,1,2011.0,5.0,3,7,1.7,15.6,1196.0,1,11.289781913656018
1058,1,5,1,1,2022.0,7.0,1,1,10.0,16.02,1373.0,1,9.580178302441196
1059,1,3,3,2,2020.0,5.0,3,3,5.7,20.7,1197.0,1,9.903487552536127
1060,1,3,1,2,2018.0,5.0,1,1,6.38,21.4,1197.0,1,10.889882538083198
1061,1,2,1,2,2018.0,5.0,1,7,6.74,14.8,1497.0,1,11.435633969239994
1062,1,4,3,1,2010.0,5.0,3,1,2.0,15.0,1586.0,1,11.407564949312402
1063,1,3,1,1,2021.0,5.0,1,1,4.33,22.05,796.0,1,10.114153582339226
1064,1,3,1,2,2020.0,5.0,1,13,5.18,22.0,999.0,1,9.675017339716193
1065,2,3,2,1,2011.0,5.0,2,7,1.75,20.0,1399.0,1,11.512925464970229
